experiment,class,tp,tn,fp,fn,(hybrid)accuracy,(hybrid)precision,(hybrid)recall,(hybrid)f1,(hybrid)mcc
max_u_regressor_sparse,lr,3151,297203,5344,1798,0.9739388344436984,0.2664849347476646,0.48156008569115705,0.3431037023338705,0.34610190583197126
max_u_regressor_sparse,gb,3410,299857,2690,1539,0.9839599925137108,0.44149277885604005,0.5677216336480079,0.49671308405922,0.49268655068274286
max_u_regressor_sparse,xgb,4550,292244,10303,399,0.9604633455323366,0.23075203560395605,0.8820305049386847,0.3658043275555645,0.43964864086877975
max_u_regressor_sparse,svr,4615,275913,26634,334,0.9043888231134294,0.10740087453183772,0.8989874323474157,0.19187829541987728,0.29179600999400607
max_u_regressor_sparse,mlp,4948,217055,85492,1,0.562262038752217,0.00849684752759214,0.9992753503297586,0.016850415813981463,0.06895345302395842
max_u_regressor_focused,lr,4321,297379,5168,628,0.9774674359203382,0.36641316017890824,0.8228443238508841,0.5070407259760856,0.5403577159828515
max_u_regressor_focused,gb,4523,249361,53186,426,0.7982202561112404,0.05392545642515835,0.8789135506990459,0.10161627894574529,0.187374770380345
max_u_regressor_focused,xgb,4660,179741,122806,289,0.5545762469205195,0.025552353351137286,0.9195460556258593,0.04972300347310901,0.10542914902215486
max_u_regressor_focused,svr,4940,249296,53251,9,0.8087360474067439,0.06307258128537185,0.997519041395136,0.1186434052026333,0.2250879367732855
max_u_regressor_focused,mlp,3713,204413,98134,1236,0.6358060712174549,0.02387560536186104,0.6311363224786574,0.04601064843114007,0.06486122797064096
max_u_filtered_regressor,lr,3151,89191,5344,1798,0.918805260346573,0.2664849347476646,0.48156008569115705,0.3431037023338705,0.3187930575204781
max_u_filtered_regressor,gb,3356,91872,2663,1593,0.9499248196256231,0.4391973722093123,0.5520246454557662,0.4891896454238568,0.46656974979401405
max_u_filtered_regressor,xgb,4949,128,94407,0,0.03766624774318013,0.03654627073111256,1.0,0.07051546421624803,0.006640268659157308
max_u_filtered_regressor,svr,4443,46628,47907,506,0.4817765749777961,0.06025919006649561,0.8429857898338354,0.11247810298056082,0.12049617984304832
max_u_filtered_regressor,mlp,4949,549,93986,0,0.010538165571247265,0.007693288690377489,1.0,0.015269107726966947,0.004714514737126025
max_u_regressor_balanced,lr,4521,280815,21732,428,0.9179115424409193,0.1259997643286342,0.8777573884896679,0.22036649756743626,0.31449163939909475
max_u_regressor_balanced,gb,4090,297475,5072,859,0.9776466680246015,0.35234048425915976,0.7597238443925993,0.4814136382938382,0.508296539575622
max_u_regressor_balanced,xgb,4448,293409,9138,501,0.9637174980464829,0.25097028470030547,0.8573536445663135,0.38828050641842765,0.4525221121320014
max_u_regressor_balanced,svr,4222,287934,14613,727,0.9443650357877834,0.17475186836897066,0.7981452702872885,0.28672584525267153,0.3575870035224473
max_u_regressor_balanced,mlp,4948,213184,89363,1,0.5458780191650509,0.00808679370582238,0.9992740973688472,0.016043750660943105,0.06627368919423594
max_u_classifier,lr,,,,,,,,,
max_u_classifier,gb,2487,92303,2232,2462,0.9528165333118893,0.5270184361093452,0.5025257627803597,0.514480761274307,0.489852045194258
max_u_classifier,xgb,1817,93214,1321,3132,0.955239033412408,0.5790312300828553,0.3671448777530814,0.4493631754667985,0.4393362404795649
